 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
269643,PATANJALI CHYAWANPRASH 1KG,Patanjali,Jun-19,190,,,,8904109470172,,,,,
I13943,PATANJALI CHYAWANPRASH  SAFFRON 1KG,Patanjali,Jun-19,250,,,,8906021883191,,,,,
I18371,PATANJALI CLASSIC NOODLES FAMILY PACK,Patanjali,Nov-17,38,,,,8904109409998,,,,,
I15749,PATANJALI COCONUT 200GM JAR,Patanjali,Jan-18,62,,,,8904109400421,,,,,
III467,PATANJALI COCONUT HAIR WASH 150ML,Patanjali,Jun-19,95,,,,8904109463204,,,,,
I05140,PATANJALI COCONUT OIL 200ML,Patanjali,Jan-18,65,,,,8904109400414,,,,,
I02126,PATANJALI CORIANDER POWDER,Patanjali,Oct-17,30,,,,8904109470288,,,,,
I16441,PATANJALI CORIENDER POWDER 500GM,Patanjali,May-17,115,,,,8904109463488,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,Jan-17,85,,,,8904109471209,,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,Aug-17,85,,,,8904109471209,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,Dec-19,145,,,,8904109470820,,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,Dec-19,145,,,,8904109470820,,,,,
I06864,PATANJALI COW'S GHEE 1KG,Patanjali,Sep-17,530,,,,8904109490538,,,,,
I14485,PATANJALI COW'S GHEE 200GM,Patanjali,Dec-18,125,,,,8904109463358,,,,,
III471,PATANJALI COW'S GHEE 500GM,Patanjali,Oct-17,270,,,,8904109490545,,,,,
I01324,PATANJALI CRACK HEEL CREAM,Patanjali,Oct-18,60,,,,8904109450129,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Dec-21,15,,,,8904109401183,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Dec-25,15,,,,8904109401183,,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,Apr-18,15,,,,8904109401183,,,,,
132770,PATANJALI DAIRY WHITENER 200GMS,Patanjali,Oct-17,65,,,,8904109401183,,,,,
I14155,PATANJALI DANT KANTHI MEDICATED GEL 100G,Patanjali,Apr-18,45,,,,8904109465505,,,,,
I14099,PATANJALI DANT KANTI ADVANCE 100GM,Patanjali,Aug-18,90,,,,8904109451560,,,,,
I14099,PATANJALI DANT KANTI ADVANCE 50GM,Patanjali,Nov-18,50,,,,8904109451577,,,,,
I07454,PATANJALI DANT KANTI JUNIOR PASTE 100GM,Patanjali,Mar-18,35,,,,8904109465499,,,,,
I01327,PATANJALI DANT KANTI PASTE 100GMS,Patanjali,Jul-18,40,,,,8904109450112,,,,,
I04437,PATANJALI DANT KANTI PASTE 200GM,Patanjali,Feb-20,75,,,,8904109450327,,,,,
I14601,PATANJALI DANT KANTI PASTE 25GM,Patanjali,Nov-18,10,,,,8904109463310,,,,,
II8892,PATANJALI DETERGENT CAKE ANTI BACTERIA,Patanjali,Oct-19,16,,,,8904109465901,,,,,
I14105,PATANJALI DETERGENT CAKE ANTI BACTERIA.,Patanjali,Jun-19,8,,,,8904109443008,,,,,
II8893,PATANJALI DETERGENT POWDER 2KG,Patanjali,Nov-19,128,,,,8904109443046,,,,,
I16869,PATANJALI DHANSHREE BASMASTI RICE 5KG,Patanjali,Nov-18,490,,,,8904109467837,,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,Jul-17,50,,,,8902351222402,,,,,
I16999,PATANJALI DIGESTIVE WHOLE WHEAT BISCUT,Patanjali,Dec-18,50,,,,8902351222402,,,,,
