 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
I14765,ALOO BHUJIA (HALDIRAMS) 1KG,,,190.000,,,,8904004400755    ,,,,,
I14793,ALOO BHUJIA (HALDIRAMS) 350GM,,,80.000,,,,8904004400779    ,,,,,
I14807,ALOO LACHA (HALDIRAM'S) 100GM,,,32.000,,,,8904004402858    ,,,,,
I18338,ALPENLIEBE POP,,,3.000,,,,89002193,,,,,
I01307,AMLA AMRIT LIQUID 65ML,,,5.000,,,,8904109465130,,,,,
I01308,AMLA CANDY 500GM,,,140.000,,,,8904109470127,,,,,
I02129,AMLA CHATPATA CANDY 500GM,,,145.000,,,,8904109490521,,,,,
I15990,AMLA GREEN TEA 15'S,,,95.000,,,,8906046410686,,,,,
I01309,AMLA JUICE,,,100.000,,,,8904109465000,,,,,
II3841,AMLA JUICE 500ML,,,55.000,,,,8904109445361,,,,,
I01310,AMLA MURABBA,,,120.000,,,,8904109445026,,,,,
I01310,AMLA MURABBA,,,120.000,,,,8904109445026,,,,,
I01311,AMRIT RASAYAN 1KG,,,160.000,,,,8904109490354,,,,,
II3842,AMRIT RASAYAN 500GM,,,85.000,,,,8904109465581,,,,,
269647,AMRITA BINDU SYRUP,,,240.000,,,,2902550004454,,,,,
269647,AMRITA BINDU SYRUP,,,240.000,,,,2902550004454,,,,,
010685,AMRUTANJAN DECORN CAP,,,30.000,,,,8901803001442,,,,,
010695,AMRUTANJAN MAHA STRONG,,,32.000,,,,8901803000117,,,,,
I04743,AMRUTANJAN PAIN SPRAY,,,80.000,,,,8901803007734,,,,,
I02109,AMRUTANJAN ROLL ON 10ML,,,50.000,,,,8901803000162,,,,,
057220,AMRUTANJAN ROLL ON 5ML,,,35.000,,,,8901803000155,,,,,
I17381,AMRUTHANJAN BACK PAIN ROLL ON 50ML,,,70.000,,,,8901803001503,,,,,
I17386,AMRUTHANJAN DOUBLE POWER 30GM,,,80.000,,,,890180300112,,,,,
I17387,AMRUTHANJAN DOUBLE POWER 55GM,,,110.000,,,,8901803001145,,,,,
I17385,AMRUTHANJAN DOUBLE POWER 9GM,,,32.000,,,,8901803001190,,,,,
I17382,AMRUTHANJAN EXTRA POWER 30GM,,,85.000,,,,8901803001558,,,,,
I17383,AMRUTHANJAN EXTRA POWER 55GM,,,115.000,,,,8901803001565,,,,,
I02708,AMRUTHANJAN RELIEF SWAS MINT,,,40.000,,,,8901803000278,,,,,
32677,AMRUTHANJUN MINI 2/-,,,2.000,,,,8901803001169,,,,,
I16672,APPLE CIDER VINEGAR 225ML,,,125.000,,,,8906250141017    ,,,,,
I14723,APPLE CIDER VINEGAR 500ML,,,400.000,,,,627354107539    ,,,,,
I14723,APPLE CIDER VINEGAR 500ML,,,240.000,,,,8906250140317    ,,,,,
I14889,APPLE VINEGAR (DINDAYAL) 500ML,,,180.000,,,,8904099502976    ,,,,,
I17221,ARO AOYA BEANS 500GM,,,69.000,,,,8902689034678    ,,,,,
I17165,ARO BLACK CARDAMOM 50GM,,,169.000,,,,8902689153027,,,,,
I17185,ARO BLACK PEPPER 100GM,,,197.000,,,,8902689152686,,,,,
I17209,ARO BLACK SALT POWDER 250GM,,,38.000,,,,8902689041843,,,,,
I17195,ARO BLUE WATER 10ML,,,99.000,,,,8902689623919,,,,,
I17197,ARO DOUBLE BEANS 500GM,,,261.000,,,,8902689933339,,,,,
I17187,ARO DRY GINGER 50GM,,,32.000,,,,8902689152785,,,,,
