 Code, Item,Brand,Exp.,MRP ,,Discount Price,Discount Percent,Barcode,Manufactureer,Small Image,Large Image,Short Description,Long Description
,PATANJALI SHAKTI XXLBASMATI RICE 5KG,Patanjali,,540.000,,,,8904109467875    ,8904109467875    ,,,,
,PATANJALI BASMATI DHANASHREE 1KG,Patanjali,,100.000,,,,8904109467752    ,8904109467752    ,,,,
I05322,PATANJALI BASMATI RICE GOLD 1KG,Patanjali,12-19,110.000,,,,8904109467714    ,8904109467714    ,,,,
I14504,PATANJALI BASMATI RICE GOLD 5KG,Patanjali,07-18,510.000,,,,8904109467684    ,8904109467684    ,,,,
,PATANJALI BESAN 500GM,Patanjali,,90.000,,,,8904109465161    ,8904109465161    ,,,,
I01424,PATANJALI BEAUTY CREAM,Patanjali,01-19,70.000,,,,8904109450167    ,8904109450167    ,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,10-17,60.000,,,,8904109451157    ,8904109451157    ,,,,
I06115,PATANJALI BODY UBTAN,Patanjali,12-19,60.000,,,,8904109451157    ,8904109451157    ,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,07-17,40.000,,,,8904109450587    ,8904109450587    ,,,,
II8864,PATANJALI BORO SAFE CREAM,Patanjali,05-17,40.000,,,,8904109450587    ,8904109450587    ,,,,
I02120,PATANJALI BRHAMI SHARBAT 750ML,Patanjali,12-19,100.000,,,,8904109440168    ,8904109440168    ,,,,
108865,PATANJALI BURA 1KG,Patanjali,12-19,65.000,,,,8904109464621    ,8904109464621    ,,,,
I18163,PATANJALI BUTTER COOKIES TIN 400GM,Patanjali,07-17,200.000,,,,8904109410215    ,8904109410215    ,,,,
I14727,PATANJALI CHANA DAL 1KG,Patanjali,12-19,138.000,,,,8904109474101    ,8904109474101    ,,,,
I14432,PATANJALI CHANA DAL 35GM,Patanjali,06-18,10.000,,,,7904162443121    ,7904162443121    ,,,,
CL0363,PATANJALI CHANA DAL 500GM,Patanjali,12-19,74.000,,,,8904109474019    ,8904109474019    ,,,,
II3845,PATANJALI CHANA MASALA,Patanjali,10-17,45.000,,,,,,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,12-19,36.000,,,,8904109465703    ,8904109465703    ,,,,
I05333,PATANJALI CHAT MASALA,Patanjali,10-17,36.000,,,,8904109465703    ,8904109465703    ,,,,
II8895,PATANJALI CHOCO DELITE BISCUIT,Patanjali,05-17,10.000,,,,8902351222280    ,8902351222280    ,,,,
I17768,PATANJALI CHOCO FLAKES 30GM,Patanjali,07-18,10.000,,,,,,,,,
I13942,PATANJALI CHOCOFLAKES 125GM,Patanjali,08-18,55.000,,,,8904109463518    ,8904109463518    ,,,,
269643,PATANJALI CHYAWANPRASH 1KG,Patanjali,06-19,190.000,,,,8904109470172    ,8904109470172    ,,,,
,PATANJALI CHYAWANPRASH  SAFFRON 1KG,Patanjali,,250.000,,,,8906021883191    ,8906021883191    ,,,,
I18371,PATANJALI CLASSIC NOODLES FAMILY PACK,Patanjali,11-17,38.000,,,,8904109409998    ,8904109409998    ,,,,
I15749,PATANJALI COCONUT 200GM JAR,Patanjali,01-18,62.000,,,,8904109400421    ,8904109400421    ,,,,
III467,PATANJALI COCONUT HAIR WASH 150ML,Patanjali,06-19,95.000,,,,8904109463204    ,8904109463204    ,,,,
I05140,PATANJALI COCONUT OIL 200ML,Patanjali,01-18,65.000,,,,,,,,,
I02126,PATANJALI CORIANDER POWDER,Patanjali,10-17,30.000,,,,8904109470288    ,8904109470288    ,,,,
I16441,PATANJALI CORIENDER POWDER 500GM,Patanjali,05-17,115.000,,,,8904109463488    ,8904109463488    ,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,01-17,85.000,,,,8904109471209    ,8904109471209    ,,,,
II9595,PATANJALI CORN FLAKES MIX 250GM,Patanjali,08-17,85.000,,,,8904109471209    ,8904109471209    ,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,12-19,145.000,,,,8904109470820    ,8904109470820    ,,,,
I15020,PATANJALI CORN FLAKES MIX 500GM,Patanjali,12-19,145.000,,,,8904109470820    ,8904109470820    ,,,,
I06864,PATANJALI COW'S GHEE 1KG,Patanjali,09-17,530.000,,,,8904109490538    ,8904109490538    ,,,,
I14485,PATANJALI COW'S GHEE 200GM,Patanjali,12-18,125.000,,,,8904109463358    ,8904109463358    ,,,,
I14485,PATANJALI COW'S GHEE 200GM,Patanjali,10-17,120.000,,,,,,,,,
III471,PATANJALI COW'S GHEE 500GM,Patanjali,10-17,270.000,,,,8904109490545    ,8904109490545    ,,,,
III471,PATANJALI COW'S GHEE 500GM,Patanjali,12-19,270.000,,,,8904109490545    ,8904109490545    ,,,,
I01324,PATANJALI CRACK HEEL CREAM,Patanjali,10-18,60.000,,,,8904109450129    ,8904109450129    ,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,12-21,15.000,,,,8904109401183    ,8904109401183    ,,,,
I14102,PATANJALI CURVY BRUSH,Patanjali,12-25,15.000,,,,,,,,,
